ts_utc,ccy,spread_pct,ccy_mean_spread_pct,spread_ratio,n_prior_readings
2026-09-04T13:05:27.829595+00:00,LBP,1.1793,4.0389,0.292,46
2026-09-04T14:05:26.901578+00:00,EGP,0.0585,-0.0225,,47
2026-09-04T14:05:26.901578+00:00,PKR,0.1631,0.229,0.7123,47
2026-09-04T14:05:26.901578+00:00,BDT,0.2564,0.4457,0.5752,47
2026-09-04T14:05:26.901578+00:00,VND,0.0871,0.1169,0.745,47
2026-09-04T14:05:26.901578+00:00,KES,0.2746,0.389,0.706,47
2026-09-04T14:05:26.901578+00:00,BOB,0.4024,0.5512,0.7301,47
2026-09-04T14:05:26.901578+00:00,LBP,1.1851,3.9781,0.2979,47
2026-09-04T15:05:26.359548+00:00,EGP,-0.0195,-0.0208,,48
2026-09-04T15:05:26.359548+00:00,PKR,0.2352,0.2276,1.0334,48
2026-09-04T15:05:26.359548+00:00,BDT,0.2722,0.4418,0.6161,48
2026-09-04T15:05:26.359548+00:00,VND,0.0871,0.1163,0.749,48
2026-09-04T15:05:26.359548+00:00,KES,0.2555,0.3866,0.6609,48
2026-09-04T15:05:26.359548+00:00,BOB,0.3213,0.5481,0.5862,48
2026-09-04T15:05:26.359548+00:00,LBP,1.2688,3.9199,0.3237,48
2026-09-04T16:05:26.170848+00:00,EGP,0.0098,-0.0208,,49
2026-09-04T16:05:26.170848+00:00,PKR,0.0738,0.2278,0.324,49
2026-09-04T16:05:26.170848+00:00,BDT,0.1382,0.4383,0.3153,49
2026-09-04T16:05:26.170848+00:00,VND,0.0735,0.1157,0.6353,49
2026-09-04T16:05:26.170848+00:00,KES,0.2284,0.3839,0.5949,49
2026-09-04T16:05:26.170848+00:00,BOB,0.4014,0.5435,0.7386,49
2026-09-04T16:05:26.170848+00:00,LBP,1.1851,3.8658,0.3066,49
2026-09-04T17:05:25.613093+00:00,EGP,-0.0977,-0.0201,,50
2026-09-04T17:05:25.613093+00:00,PKR,0.0562,0.2247,0.2501,50
2026-09-04T17:05:25.613093+00:00,BDT,-0.1221,0.4323,-0.2824,50
2026-09-04T17:05:25.613093+00:00,VND,0.0813,0.1148,0.7079,50
2026-09-04T17:05:25.613093+00:00,KES,0.2516,0.3808,0.6607,50
2026-09-04T17:05:25.613093+00:00,BOB,0.321,0.5406,0.5938,50
2026-09-04T17:05:25.613093+00:00,LBP,1.1013,3.8122,0.2889,50
2026-09-04T18:05:33.588321+00:00,EGP,0.0585,-0.0217,,51
2026-09-04T18:05:33.588321+00:00,PKR,-0.0176,0.2214,-0.0795,51
2026-09-04T18:05:33.588321+00:00,BDT,0.0827,0.4214,0.1962,51
2026-09-04T18:05:33.588321+00:00,VND,0.1239,0.1142,1.085,51
2026-09-04T18:05:33.588321+00:00,KES,0.209,0.3783,0.5525,51
