ts_utc,venue,ccy,usdt_mid,usdc_mid,spread_bps,source_ok,error
2026-09-03T02:05:16.442636+00:00,Foxbit,BRL,5.11235,5.11435,3.91,True,
2026-09-03T02:05:16.442636+00:00,MercadoBitcoin,BRL,5.11315,5.11275,-0.78,True,
2026-09-03T03:05:18.761668+00:00,IndependentReserve,SGD,1.2692,1.26928,0.63,True,
2026-09-03T03:05:18.761668+00:00,Coins.ph,PHP,62.475,62.485,1.6,True,
2026-09-03T03:05:18.761668+00:00,BTCTurk,TRY,48.2325,48.1785,-11.2,True,
2026-09-03T03:05:18.761668+00:00,Upbit,KRW,1372.0,1374.0,14.58,True,
2026-09-03T03:05:18.761668+00:00,Indodax,IDR,17685.5,17689.5,2.26,True,
2026-09-03T03:05:18.761668+00:00,Bitkub,THB,32.995,33.0,1.52,True,
2026-09-03T03:05:18.761668+00:00,Bithumb,KRW,1372.5,1373.5,7.29,True,
2026-09-03T03:05:18.761668+00:00,Coinone,KRW,1372.5,1372.5,0.0,True,
2026-09-03T03:05:18.761668+00:00,Paribu,TRY,48.2305,48.198,-6.74,True,
2026-09-03T03:05:18.761668+00:00,Pintu,IDR,17686.0,17669.0,-9.61,True,
2026-09-03T03:05:18.761668+00:00,Foxbit,BRL,5.11645,5.1161,-0.68,True,
2026-09-03T03:05:18.761668+00:00,MercadoBitcoin,BRL,5.11695,5.1159,-2.05,True,
2026-09-03T04:06:24.455181+00:00,IndependentReserve,SGD,1.2691,1.26948,2.99,True,
2026-09-03T04:06:24.455181+00:00,Coins.ph,PHP,62.475,62.485,1.6,True,
2026-09-03T04:06:24.455181+00:00,BTCTurk,TRY,48.2305,48.177,-11.09,True,
2026-09-03T04:06:24.455181+00:00,Upbit,KRW,1374.0,1375.0,7.28,True,
2026-09-03T04:06:24.455181+00:00,Indodax,IDR,17660.5,17677.5,9.63,True,
2026-09-03T04:06:24.455181+00:00,Bitkub,THB,33.005,32.995,-3.03,True,
2026-09-03T04:06:24.455181+00:00,Bithumb,KRW,1372.5,1373.5,7.29,True,
2026-09-03T04:06:24.455181+00:00,Coinone,KRW,1373.5,1373.5,0.0,True,
2026-09-03T04:06:24.455181+00:00,Paribu,TRY,48.2325,48.201,-6.53,True,
2026-09-03T04:06:24.455181+00:00,Pintu,IDR,17684.0,17640.0,-24.88,True,
2026-09-03T04:06:24.455181+00:00,Foxbit,BRL,5.11685,5.117,0.29,True,
2026-09-03T04:06:24.455181+00:00,MercadoBitcoin,BRL,5.11685,5.11645,-0.78,True,
2026-09-03T05:05:17.093539+00:00,IndependentReserve,SGD,1.269,1.26943,3.39,True,
2026-09-03T05:05:17.093539+00:00,Coins.ph,PHP,62.435,62.445,1.6,True,
2026-09-03T05:05:17.093539+00:00,BTCTurk,TRY,48.21,48.174,-7.47,True,
2026-09-03T05:05:17.093539+00:00,Upbit,KRW,1374.0,1376.0,14.56,True,
2026-09-03T05:05:17.093539+00:00,Indodax,IDR,17653.5,17646.5,-3.97,True,
2026-09-03T05:05:17.093539+00:00,Bitkub,THB,32.985,32.995,3.03,True,
2026-09-03T05:05:17.093539+00:00,Bithumb,KRW,1374.5,1374.5,0.0,True,
2026-09-03T05:05:17.093539+00:00,Coinone,KRW,1374.5,1374.5,0.0,True,
2026-09-03T05:05:17.093539+00:00,Paribu,TRY,48.2335,48.138,-19.8,True,
2026-09-03T05:05:17.093539+00:00,Pintu,IDR,17684.0,17640.0,-24.88,True,
2026-09-03T05:05:17.093539+00:00,Foxbit,BRL,5.11685,5.1154,-2.83,True,
2026-09-03T05:05:17.093539+00:00,MercadoBitcoin,BRL,5.11485,5.1152,0.68,True,
2026-09-03T06:05:14.808415+00:00,IndependentReserve,SGD,1.2685,1.26881,2.44,True,
2026-09-03T06:05:14.808415+00:00,Coins.ph,PHP,62.455,62.455,0.0,True,
2026-09-03T06:05:14.808415+00:00,BTCTurk,TRY,48.2045,48.164,-8.4,True,
2026-09-03T06:05:14.808415+00:00,Upbit,KRW,1374.0,1374.0,0.0,True,
2026-09-03T06:05:14.808415+00:00,Indodax,IDR,17653.5,17663.5,5.66,True,
2026-09-03T06:05:14.808415+00:00,Bitkub,THB,32.985,32.985,0.0,True,
2026-09-03T06:05:14.808415+00:00,Bithumb,KRW,1373.5,1374.5,7.28,True,
2026-09-03T06:05:14.808415+00:00,Coinone,KRW,1373.5,1374.5,7.28,True,
2026-09-03T06:05:14.808415+00:00,Paribu,TRY,48.218,48.2,-3.73,True,
2026-09-03T06:05:14.808415+00:00,Pintu,IDR,17669.0,17640.0,-16.41,True,
2026-09-03T06:05:14.808415+00:00,Foxbit,BRL,5.11685,5.11565,-2.35,True,
2026-09-03T06:05:14.808415+00:00,MercadoBitcoin,BRL,5.11495,5.1147,-0.49,True,
2026-09-03T07:05:23.040489+00:00,IndependentReserve,SGD,1.268585,1.268895,2.44,True,
2026-09-03T07:05:23.040489+00:00,Coins.ph,PHP,62.375,62.385,1.6,True,
2026-09-03T07:05:23.040489+00:00,BTCTurk,TRY,48.1735,48.153,-4.26,True,
2026-09-03T07:05:23.040489+00:00,Upbit,KRW,1373.0,1373.0,0.0,True,
2026-09-03T07:05:23.040489+00:00,Indodax,IDR,17648.5,17653.5,2.83,True,
2026-09-03T07:05:23.040489+00:00,Bitkub,THB,32.995,32.965,-9.09,True,
2026-09-03T07:05:23.040489+00:00,Bithumb,KRW,1372.5,1373.5,7.29,True,
2026-09-03T07:05:23.040489+00:00,Coinone,KRW,1372.5,1373.5,7.29,True,
2026-09-03T07:05:23.040489+00:00,Paribu,TRY,48.2105,48.2015,-1.87,True,
2026-09-03T07:05:23.040489+00:00,Pintu,IDR,17659.0,17635.0,-13.59,True,
2026-09-03T07:05:23.040489+00:00,Foxbit,BRL,5.11565,5.1158,0.29,True,
2026-09-03T07:05:23.040489+00:00,MercadoBitcoin,BRL,5.11655,5.11625,-0.59,True,
2026-09-03T08:05:55.442813+00:00,IndependentReserve,SGD,1.268915,1.26931,3.11,True,
2026-09-03T08:05:55.442813+00:00,Coins.ph,PHP,62.485,62.495,1.6,True,
2026-09-03T08:05:55.442813+00:00,BTCTurk,TRY,48.1815,48.1875,1.25,True,
2026-09-03T08:05:55.442813+00:00,Upbit,KRW,1373.0,1373.0,0.0,True,
2026-09-03T08:05:55.442813+00:00,Indodax,IDR,17638.5,17656.0,9.92,True,
2026-09-03T08:05:55.442813+00:00,Bitkub,THB,32.995,33.0,1.52,True,
2026-09-03T08:05:55.442813+00:00,Bithumb,KRW,1372.5,1373.5,7.29,True,
2026-09-03T08:05:55.442813+00:00,Coinone,KRW,1372.5,1373.5,7.29,True,
2026-09-03T08:05:55.442813+00:00,Paribu,TRY,48.1905,48.187,-0.73,True,
2026-09-03T08:05:55.442813+00:00,Pintu,IDR,17654.0,17636.0,-10.2,True,
2026-09-03T08:05:55.442813+00:00,Foxbit,BRL,5.11505,5.1162,2.25,True,
2026-09-03T08:05:55.442813+00:00,MercadoBitcoin,BRL,5.11605,5.11715,2.15,True,
2026-09-03T09:05:24.097051+00:00,IndependentReserve,SGD,1.26765,1.268635,7.77,True,
2026-09-03T09:05:24.097051+00:00,Coins.ph,PHP,62.475,62.485,1.6,True,
2026-09-03T09:05:24.097051+00:00,BTCTurk,TRY,48.2135,48.204,-1.97,True,
2026-09-03T09:05:24.097051+00:00,Upbit,KRW,1374.0,1373.0,-7.28,True,
2026-09-03T09:05:24.097051+00:00,Indodax,IDR,17638.5,17644.5,3.4,True,
2026-09-03T09:05:24.097051+00:00,Bitkub,THB,32.995,32.99,-1.52,True,
2026-09-03T09:05:24.097051+00:00,Bithumb,KRW,1372.5,1373.5,7.29,True,
2026-09-03T09:05:24.097051+00:00,Coinone,KRW,1373.5,1373.5,0.0,True,
2026-09-03T09:05:24.097051+00:00,Paribu,TRY,48.1955,48.1985,0.62,True,
2026-09-03T09:05:24.097051+00:00,Pintu,IDR,17655.0,17646.0,-5.1,True,
2026-09-03T09:05:24.097051+00:00,Foxbit,BRL,5.1078,5.11125,6.75,True,
2026-09-03T09:05:24.097051+00:00,MercadoBitcoin,BRL,5.10855,5.1107,4.21,True,
2026-09-03T10:05:16.333316+00:00,IndependentReserve,SGD,1.26745,1.268625,9.27,True,
2026-09-03T10:05:16.333316+00:00,Coins.ph,PHP,62.465,62.485,3.2,True,
2026-09-03T10:05:16.333316+00:00,BTCTurk,TRY,48.224,48.212,-2.49,True,
2026-09-03T10:05:16.333316+00:00,Upbit,KRW,1374.0,1374.0,0.0,True,
2026-09-03T10:05:16.333316+00:00,Indodax,IDR,17638.5,17642.0,1.98,True,
2026-09-03T10:05:16.333316+00:00,Bitkub,THB,32.975,32.99,4.55,True,
2026-09-03T10:05:16.333316+00:00,Bithumb,KRW,1373.5,1373.5,0.0,True,
2026-09-03T10:05:16.333316+00:00,Coinone,KRW,1373.5,1373.5,0.0,True,
2026-09-03T10:05:16.333316+00:00,Paribu,TRY,48.2105,48.2045,-1.24,True,
2026-09-03T10:05:16.333316+00:00,Pintu,IDR,17655.0,17646.0,-5.1,True,
2026-09-03T10:05:16.333316+00:00,Foxbit,BRL,5.10705,5.1069,-0.29,True,
2026-09-03T10:05:16.333316+00:00,MercadoBitcoin,BRL,5.10615,5.1073,2.25,True,
2026-09-03T11:05:18.363406+00:00,IndependentReserve,SGD,1.26745,1.26825,6.31,True,
2026-09-03T11:05:18.363406+00:00,Coins.ph,PHP,62.475,62.485,1.6,True,
2026-09-03T11:05:18.363406+00:00,BTCTurk,TRY,48.2385,48.175,-13.16,True,
2026-09-03T11:05:18.363406+00:00,Upbit,KRW,1373.0,1375.0,14.57,True,
2026-09-03T11:05:18.363406+00:00,Indodax,IDR,17650.5,17642.5,-4.53,True,
2026-09-03T11:05:18.363406+00:00,Bitkub,THB,32.985,32.995,3.03,True,
2026-09-03T11:05:18.363406+00:00,Bithumb,KRW,1372.5,1373.5,7.29,True,
2026-09-03T11:05:18.363406+00:00,Coinone,KRW,1372.5,1372.5,0.0,True,
2026-09-03T11:05:18.363406+00:00,Paribu,TRY,48.2295,48.1945,-7.26,True,
2026-09-03T11:05:18.363406+00:00,Pintu,IDR,17655.0,17645.0,-5.66,True,
2026-09-03T11:05:18.363406+00:00,Foxbit,BRL,5.10685,5.10485,-3.92,True,
2026-09-03T11:05:18.363406+00:00,MercadoBitcoin,BRL,5.10595,5.10535,-1.18,True,
2026-09-03T12:05:23.579418+00:00,IndependentReserve,SGD,1.26695,1.26764,5.45,True,
2026-09-03T12:05:23.579418+00:00,Coins.ph,PHP,62.445,62.455,1.6,True,
2026-09-03T12:05:23.579418+00:00,BTCTurk,TRY,48.2085,48.1975,-2.28,True,
2026-09-03T12:05:23.579418+00:00,Upbit,KRW,1373.0,1374.0,7.28,True,
2026-09-03T12:05:23.579418+00:00,Indodax,IDR,17638.5,17641.5,1.7,True,
